node.name,node.createdAt,node.stargazers.totalCount,node.pushedAt,node.differenceSinceUpdated.days,node.differenceSinceUpdated.hours
freeCodeCamp,2014-12-24T17:49:19Z,314742,2020-09-16T19:00:00.000-03:00,0,2.7227444444444444
996.ICU,2019-03-26T07:31:14Z,251615,2020-09-09T02:07:32.000-03:00,7,19.59718972222222
vue,2013-07-29T03:24:51Z,172100,2020-09-16T12:29:46.000-03:00,0,9.226634444444445
free-programming-books,2013-10-11T06:50:37Z,159571,2020-09-16T19:01:21.000-03:00,0,2.7002455555555556
react,2013-05-24T16:15:54Z,155953,2020-09-16T21:11:14.000-03:00,0,0.5355236111111111
tensorflow,2015-11-07T01:19:20Z,148435,2020-09-16T21:42:31.000-03:00,0,0.014134722222222222
bootstrap,2011-07-29T21:19:00Z,144123,2020-09-16T21:14:57.000-03:00,0,0.47357944444444444
awesome,2014-07-11T13:42:37Z,140974,2020-09-16T17:05:19.000-03:00,0,4.634135
coding-interview-university,2016-06-06T02:34:12Z,134925,2020-09-16T14:01:18.000-03:00,0,7.701079444444445
You-Dont-Know-JS,2013-11-16T02:37:24Z,127427,2020-09-06T18:07:07.000-03:00,10,3.604135277777778
developer-roadmap,2017-03-15T13:45:52Z,126030,2020-08-03T21:07:02.000-03:00,44,0.6055241666666666
ohmyzsh,2009-08-28T18:15:37Z,116260,2020-09-16T13:54:31.000-03:00,0,7.814135277777778
CS-Notes,2018-02-13T14:56:24Z,111032,2020-09-03T05:56:19.000-03:00,13,15.784135555555556
gitignore,2010-11-08T20:17:14Z,107880,2020-09-16T16:19:49.000-03:00,0,5.392468888888889
system-design-primer,2017-02-26T16:15:28Z,106863,2020-09-13T14:14:36.000-03:00,3,7.4794133333333335
vscode,2015-09-03T20:23:38Z,103267,2020-09-16T20:56:23.000-03:00,0,0.783025
flutter,2015-03-06T22:54:58Z,101479,2020-09-16T21:42:07.000-03:00,0,0.020802777777777778
javascript,2012-11-01T23:13:50Z,99687,2020-09-08T05:29:37.000-03:00,8,16.22913611111111
linux,2011-09-04T22:48:12Z,97485,2020-09-16T16:05:33.000-03:00,0,5.6302475
public-apis,2016-03-20T23:49:42Z,96298,2020-09-14T19:14:50.000-03:00,2,2.475525277777778
d3,2010-09-27T17:22:42Z,93706,2020-09-02T14:08:46.000-03:00,14,7.576636388888889
Python-100-Days,2018-03-01T16:05:52Z,92692,2020-09-07T23:20:40.000-03:00,8,22.378303333333335
react-native,2015-01-09T18:10:16Z,90118,2020-09-16T15:50:05.000-03:00,0,5.888025555555555
JavaGuide,2018-05-07T13:27:00Z,88106,2020-09-13T07:54:50.000-03:00,3,13.808858888888889
awesome-python,2014-06-27T21:00:06Z,86674,2020-09-15T05:31:53.000-03:00,1,16.19135888888889
electron,2013-04-12T01:47:36Z,85801,2020-09-16T21:43:17.000-03:00,0,0.0013591666666666667
Python,2016-07-16T09:44:01Z,85599,2020-09-16T21:00:10.000-03:00,0,0.7199702777777778
build-your-own-x,2018-05-09T12:03:18Z,82318,2020-08-23T05:52:50.000-03:00,24,15.8421925
create-react-app,2016-07-17T14:55:11Z,81902,2020-09-16T20:32:44.000-03:00,0,1.1771927777777778
javascript-algorithms,2018-03-24T07:47:04Z,80939,2020-09-15T04:26:17.000-03:00,1,17.284692777777778
the-art-of-command-line,2015-05-20T15:11:03Z,80341,2020-09-11T11:38:58.000-03:00,5,10.073303888888889
axios,2014-08-18T22:30:27Z,77025,2020-09-16T04:04:09.000-03:00,0,17.653581666666668
go,2014-08-19T04:33:40Z,76570,2020-09-16T20:01:35.000-03:00,0,1.6963597222222222
node,2014-11-26T19:57:11Z,73002,2020-09-16T21:32:13.000-03:00,0,0.18580416666666666
youtube-dl,2010-10-31T14:35:07Z,70821,2020-09-16T19:10:46.000-03:00,0,2.5433041666666667
kubernetes,2014-06-06T22:56:04Z,70061,2020-09-16T21:38:27.000-03:00,0,0.08191527777777778
free-programming-books-zh_CN,2013-11-04T01:59:19Z,69861,2020-09-04T02:38:30.000-03:00,12,19.08108222222222
animate.css,2011-10-12T10:07:38Z,67893,2020-09-16T15:50:16.000-03:00,0,5.884971111111112
terminal,2017-08-11T18:38:22Z,67864,2020-09-16T21:38:20.000-03:00,0,0.08386
deno,2018-05-15T01:34:26Z,67352,2020-09-16T21:31:13.000-03:00,0,0.2024711111111111
models,2016-02-05T01:15:20Z,66124,2020-09-16T21:14:19.000-03:00,0,0.48413805555555556
angular,2014-09-18T16:12:01Z,66018,2020-09-16T20:17:47.000-03:00,0,1.4263602777777777
computer-science,2014-05-04T00:18:39Z,65797,2020-09-16T03:12:23.000-03:00,0,18.51636027777778
puppeteer,2017-05-09T22:16:13Z,65135,2020-09-14T12:39:04.000-03:00,2,9.071638333333333
TypeScript,2014-06-17T15:28:39Z,64355,2020-09-16T21:26:46.000-03:00,0,0.2766383333333333
Font-Awesome,2012-02-17T14:19:43Z,63911,2020-07-15T18:34:43.000-03:00,63,3.1441383333333333
three.js,2010-03-23T18:58:01Z,63432,2020-09-16T16:39:21.000-03:00,0,5.066916111111111
ant-design,2015-04-24T15:37:24Z,63381,2020-09-16T12:57:47.000-03:00,0,8.759694166666666
fucking-algorithm,2020-02-19T09:01:23Z,61907,2020-09-16T11:07:26.000-03:00,0,10.598860833333333
30-seconds-of-code,2017-11-29T17:35:03Z,61783,2020-09-16T09:58:29.000-03:00,0,11.748027777777779